variant,corpus,seed,tokens,train_tokens,steps,parameters,final_loss,accuracy,train_seconds,peak_train_mib
full,needle,7,256,524288,512,1266305,4.828125,0.007812,5.225,40.229
sliding,needle,7,256,524288,512,1266305,4.835938,0.007812,7.195,42.479
hybrid,needle,7,256,524288,512,1266305,4.828125,0.007812,13.904,64.434
hybrid_retrieval,needle,7,256,524288,512,1266305,4.828125,0.007812,13.941,64.434

full,needle,19,256,524288,512,1266305,4.695312,0.0,4.617,40.229
sliding,needle,19,256,524288,512,1266305,4.703125,0.0,6.92,42.479
hybrid,needle,19,256,524288,512,1266305,4.726562,0.0,14.355,64.434
hybrid_retrieval,needle,19,256,524288,512,1266305,4.726562,0.0,14.068,64.434

full,needle,41,256,524288,512,1266305,4.71875,0.011719,5.074,40.229
sliding,needle,41,256,524288,512,1266305,4.703125,0.011719,6.99,42.479
hybrid,needle,41,256,524288,512,1266305,4.734375,0.011719,14.24,64.434
hybrid_retrieval,needle,41,256,524288,512,1266305,4.734375,0.011719,13.93,64.434

full,retrieval,7,256,524288,512,1266305,5.054688,0.007812,5.084,40.229
sliding,retrieval,7,256,524288,512,1266305,5.0625,0.015625,7.241,42.479
hybrid,retrieval,7,256,524288,512,1266305,5.085938,0.007812,14.187,64.434
hybrid_retrieval,retrieval,7,256,524288,512,1266305,3e-06,1.0,17.466,66.535

full,retrieval,19,256,524288,512,1266305,4.851562,0.007812,4.928,40.229
sliding,retrieval,19,256,524288,512,1266305,4.859375,0.011719,6.932,42.479
hybrid,retrieval,19,256,524288,512,1266305,4.875,0.011719,13.839,64.434
hybrid_retrieval,retrieval,19,256,524288,512,1266305,4e-06,1.0,17.543,66.535

full,retrieval,41,256,524288,512,1266305,4.976562,0.007812,12.171,40.229
sliding,retrieval,41,256,524288,512,1266305,4.976562,0.007812,35.677,42.479
hybrid,retrieval,41,256,524288,512,1266305,5.007812,0.007812,25.824,64.434
hybrid_retrieval,retrieval,41,256,524288,512,1266305,6e-06,1.0,17.126,66.535

full,needle,7,512,524288,256,1266305,4.828125,0.003906,2.481,55.283
sliding,needle,7,512,524288,256,1266305,4.828125,0.003906,4.297,59.971
hybrid,needle,7,512,524288,256,1266305,4.8125,0.003906,7.722,106.934
hybrid_retrieval,needle,7,512,524288,256,1266305,4.8125,0.003906,7.729,106.934

full,needle,19,512,524288,256,1266305,5.046875,0.003906,2.472,55.283
sliding,needle,19,512,524288,256,1266305,4.976562,0.003906,4.242,59.971
hybrid,needle,19,512,524288,256,1266305,5.054688,0.003906,7.744,106.934
hybrid_retrieval,needle,19,512,524288,256,1266305,5.054688,0.003906,8.094,106.934

full,needle,41,512,524288,256,1266305,4.992188,0.015625,2.431,55.283
sliding,needle,41,512,524288,256,1266305,4.984375,0.015625,4.192,59.971
hybrid,needle,41,512,524288,256,1266305,5.023438,0.015625,8.282,106.934
hybrid_retrieval,needle,41,512,524288,256,1266305,5.023438,0.015625,7.807,106.934

full,retrieval,7,512,524288,256,1266305,4.898438,0.011719,2.574,55.284
sliding,retrieval,7,512,524288,256,1266305,4.921875,0.011719,4.304,59.971
hybrid,retrieval,7,512,524288,256,1266305,4.890625,0.011719,8.035,106.934
hybrid_retrieval,retrieval,7,512,524288,256,1266305,9e-06,1.0,9.802,109.035

full,retrieval,19,512,524288,256,1266305,5.101562,0.003906,2.732,55.284
sliding,retrieval,19,512,524288,256,1266305,5.085938,0.003906,4.695,59.971
hybrid,retrieval,19,512,524288,256,1266305,5.054688,0.003906,8.3,106.934
hybrid_retrieval,retrieval,19,512,524288,256,1266305,1.8e-05,1.0,10.344,109.035

full,retrieval,41,512,524288,256,1266305,4.953125,0.015625,2.693,55.284
sliding,retrieval,41,512,524288,256,1266305,4.921875,0.015625,4.674,59.971
hybrid,retrieval,41,512,524288,256,1266305,4.90625,0.015625,7.97,106.934
hybrid_retrieval,retrieval,41,512,524288,256,1266305,2.1e-05,1.0,10.271,109.035

full,needle,7,1024,524288,128,1266305,5.1875,0.003906,1.375,86.643
sliding,needle,7,1024,524288,128,1266305,5.210938,0.003906,2.909,96.205
hybrid,needle,7,1024,524288,128,1266305,5.1875,0.0,5.055,195.186
hybrid_retrieval,needle,7,1024,524288,128,1266305,5.1875,0.0,5.002,195.186

full,needle,19,1024,524288,128,1266305,5.0625,0.011719,1.506,86.643
sliding,needle,19,1024,524288,128,1266305,5.085938,0.011719,2.996,96.205
hybrid,needle,19,1024,524288,128,1266305,5.039062,0.011719,5.107,195.186
hybrid_retrieval,needle,19,1024,524288,128,1266305,5.039062,0.011719,4.901,195.186

full,needle,41,1024,524288,128,1266305,4.875,0.015625,1.508,86.643
sliding,needle,41,1024,524288,128,1266305,4.878906,0.007812,2.973,96.205
hybrid,needle,41,1024,524288,128,1266305,4.878906,0.007812,4.83,195.186
hybrid_retrieval,needle,41,1024,524288,128,1266305,4.878906,0.007812,4.935,195.186

full,retrieval,7,1024,524288,128,1266305,4.945312,0.003906,1.528,86.643
sliding,retrieval,7,1024,524288,128,1266305,4.984375,0.003906,2.864,96.206
hybrid,retrieval,7,1024,524288,128,1266305,4.945312,0.003906,4.712,195.186
hybrid_retrieval,retrieval,7,1024,524288,128,1266305,3.7e-05,1.0,6.117,197.287

full,retrieval,19,1024,524288,128,1266305,4.710938,0.007812,1.504,86.643
sliding,retrieval,19,1024,524288,128,1266305,4.726562,0.007812,2.85,96.206
hybrid,retrieval,19,1024,524288,128,1266305,4.726562,0.007812,4.786,195.186
hybrid_retrieval,retrieval,19,1024,524288,128,1266305,2.6e-05,1.0,5.858,197.287

full,retrieval,41,1024,524288,128,1266305,5.023438,0.015625,1.449,86.643
sliding,retrieval,41,1024,524288,128,1266305,5.070312,0.015625,2.73,96.206
