variant,corpus,seed,tokens,train_tokens,steps,parameters,final_loss,accuracy,train_seconds,peak_train_mib
full,needle,7,256,32768,32,197249,4.773438,0.0,0.88,22.368
sliding,needle,7,256,32768,32,197249,4.796875,0.0,0.477,22.993
hybrid,needle,7,256,32768,32,197249,4.773438,0.015625,0.825,28.368
hybrid_retrieval,needle,7,256,32768,32,197249,4.773438,0.015625,1.576,28.368
full,needle,19,256,32768,32,197249,4.898438,0.0,1.07,22.368
sliding,needle,19,256,32768,32,197249,4.875,0.0,1.583,22.993
hybrid,needle,19,256,32768,32,197249,4.875,0.0,3.463,28.368
hybrid_retrieval,needle,19,256,32768,32,197249,4.875,0.0,2.735,28.368
full,retrieval,7,256,32768,32,197249,4.492188,0.0,0.376,22.368
sliding,retrieval,7,256,32768,32,197249,4.515625,0.015625,0.489,22.993
hybrid,retrieval,7,256,32768,32,197249,4.492188,0.015625,0.59,28.368
hybrid_retrieval,retrieval,7,256,32768,32,197249,0.396657,1.0,1.053,28.958
full,retrieval,19,256,32768,32,197249,5.039062,0.0,0.262,22.368
sliding,retrieval,19,256,32768,32,197249,5.0625,0.0,0.345,22.993
hybrid,retrieval,19,256,32768,32,197249,5.046875,0.0,0.568,28.368
hybrid_retrieval,retrieval,19,256,32768,32,197249,0.678488,1.0,0.907,28.958
full,needle,7,1024,32768,8,197249,4.8125,0.015625,0.292,36.336
sliding,needle,7,1024,32768,8,197249,4.773438,0.015625,0.25,39.025
hybrid,needle,7,1024,32768,8,197249,4.78125,0.015625,0.282,64.162
hybrid_retrieval,needle,7,1024,32768,8,197249,4.78125,0.015625,0.264,64.162
full,needle,19,1024,32768,8,197249,4.929688,0.0,0.106,36.336
sliding,needle,19,1024,32768,8,197249,4.9375,0.0,0.17,39.025
hybrid,needle,19,1024,32768,8,197249,4.96875,0.0,0.279,64.162
hybrid_retrieval,needle,19,1024,32768,8,197249,4.96875,0.0,0.268,64.162
full,retrieval,7,1024,32768,8,197249,5.078125,0.015625,0.119,36.337
sliding,retrieval,7,1024,32768,8,197249,5.078125,0.015625,0.218,39.026
hybrid,retrieval,7,1024,32768,8,197249,5.0625,0.015625,0.264,64.163
hybrid_retrieval,retrieval,7,1024,32768,8,197249,2.574023,0.578125,0.387,64.753
full,retrieval,19,1024,32768,8,197249,4.910156,0.0,0.131,36.337
sliding,retrieval,19,1024,32768,8,197249,4.90625,0.0,0.182,39.026
hybrid,retrieval,19,1024,32768,8,197249,4.941406,0.0,0.28,64.163
hybrid_retrieval,retrieval,19,1024,32768,8,197249,2.739123,0.375,0.379,64.753
